version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 458575205409 eni-007e9247c3198bc26 91.196.152.201 10.0.2.88 5267 3259 6 1 60 1789610693 1789610713 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 147.185.133.35 10.0.2.88 54442 2111 6 1 44 1789610693 1789610713 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 - - - - - - - 1789610675 1789610706 - NODATA
2 458575205409 eni-007e9247c3198bc26 47.164.76.54 10.0.2.88 0 0 47 1 66 1789610692 1789610721 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 79.124.59.178 10.0.2.88 43808 23446 6 1 40 1789610692 1789610721 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 85.217.140.42 10.0.2.88 55149 25037 6 1 52 1789610692 1789610721 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 162.216.150.35 10.0.2.88 55184 8735 6 1 44 1789610692 1789610721 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 - - - - - - - 1789610692 1789610721 - SKIPDATA
2 458575205409 eni-09faf44014196404b 147.185.133.201 10.0.1.215 54642 10038 6 1 44 1789610695 1789610704 ACCEPT OK
2 458575205409 eni-09faf44014196404b 175.125.92.77 10.0.1.215 59281 8888 6 1 44 1789610695 1789610704 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 205.210.31.132 10.0.2.88 56656 8088 6 1 44 1789610726 1789610726 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 - - - - - - - 1789610739 1789610739 - NODATA
2 458575205409 eni-007e9247c3198bc26 - - - - - - - 1789610739 1789610739 - SKIPDATA
2 458575205409 eni-007e9247c3198bc26 - - - - - - - 1789610738 1789610738 - NODATA
2 458575205409 eni-007e9247c3198bc26 - - - - - - - 1789610738 1789610738 - SKIPDATA
2 458575205409 eni-09faf44014196404b - - - - - - - 1789610709 1789610740 - NODATA
2 458575205409 eni-09faf44014196404b - - - - - - - 1789610700 1789610731 - NODATA
2 458575205409 eni-09faf44014196404b 64.62.156.53 10.0.1.215 43555 4081 6 1 40 1789610700 1789610723 ACCEPT OK
2 458575205409 eni-09faf44014196404b 66.240.223.214 10.0.1.215 44010 53 6 1 52 1789610700 1789610723 ACCEPT OK
2 458575205409 eni-09faf44014196404b 147.185.132.23 10.0.1.215 53353 34417 6 1 44 1789610700 1789610723 ACCEPT OK
2 458575205409 eni-09faf44014196404b 209.38.131.131 10.0.1.215 26200 8833 6 1 44 1789610700 1789610723 ACCEPT OK
